,OFFICIAL_SYMBOL_A,OFFICIAL_SYMBOL_B,ENSEMBL_A,ENSEMBL_B,PUBMED_ID,description_A,description_B
72173,HLA-DRB1,MS4A1,ENSG00000196126,ENSG00000156738,20458337,"MAJOR HISTOCOMPATIBILITY COMPLEX, CLASS II, DR BETA 1",MEMBRANE SPANNING 4-DOMAINS A1
73017,TNF,TNFRSF1A,ENSG00000232810,ENSG00000067182,22099304,TUMOR NECROSIS FACTOR,TNF RECEPTOR SUPERFAMILY MEMBER 1A
75099,HLA-DPB1,ROBO2,ENSG00000223865,ENSG00000185008,21900206,"MAJOR HISTOCOMPATIBILITY COMPLEX, CLASS II, DP BETA 1",ROUNDABOUT GUIDANCE RECEPTOR 2
77810,GP6,FCER1G,ENSG00000088053,ENSG00000158869,12594225,GLYCOPROTEIN VI PLATELET,FC FRAGMENT OF IGE RECEPTOR IG
80008,ITGB1,DAG1,ENSG00000150093,ENSG00000173402,18341635,INTEGRIN SUBUNIT BETA 1,DYSTROGLYCAN 1
80011,DAG1,ITGB1,ENSG00000173402,ENSG00000150093,18341635,DYSTROGLYCAN 1,INTEGRIN SUBUNIT BETA 1
80015,TLN1,DAG1,ENSG00000137076,ENSG00000173402,18341635,TALIN 1,DYSTROGLYCAN 1
80091,SCARB1,APOA1,ENSG00000073060,ENSG00000118137,10764676,SCAVENGER RECEPTOR CLASS B MEMBER 1,APOLIPOPROTEIN A1
80117,ABCA1,FLOT1,ENSG00000165029,ENSG00000137312,15469992,ATP BINDING CASSETTE SUBFAMILY A MEMBER 1,FLOTILLIN 1
80148,DMD,ITGB1,ENSG00000198947,ENSG00000150093,16935300,DYSTROPHIN,INTEGRIN SUBUNIT BETA 1
80200,DMD,DAG1,ENSG00000198947,ENSG00000173402,7592992,DYSTROPHIN,DYSTROGLYCAN 1
83020,ANXA1,ANXA1,ENSG00000135046,ENSG00000135046,12689596,ANNEXIN A1,ANNEXIN A1
83021,ANXA1,ANXA5,ENSG00000135046,ENSG00000164111,12689596,ANNEXIN A1,ANNEXIN A5
86149,TGFBR1,HMMR,ENSG00000106799,ENSG00000072571,22610405,TRANSFORMING GROWTH FACTOR BETA RECEPTOR 1,HYALURONAN MEDIATED MOTILITY RECEPTOR
90704,CD44,ITGB1,ENSG00000026508,ENSG00000150093,21701559,CD44 MOLECULE (INDIAN BLOOD GROUP),INTEGRIN SUBUNIT BETA 1
91220,CD38,CD3E,ENSG00000004468,ENSG00000198851,14523017,CD38 MOLECULE,CD3E MOLECULE
91397,EPHA2,EPHA2,ENSG00000142627,ENSG00000142627,18797457,EPH RECEPTOR A2,EPH RECEPTOR A2
91511,PDGFRA,KIT,ENSG00000134853,ENSG00000157404,17452978,PLATELET DERIVED GROWTH FACTOR RECEPTOR ALPHA,"KIT PROTO-ONCOGENE, RECEPTOR TYROSINE KINASE"
92773,PTPRJ,EGFR,ENSG00000149177,ENSG00000146648,19836242,PROTEIN TYROSINE PHOSPHATASE RECEPTOR TYPE J,EPIDERMAL GROWTH FACTOR RECEPTOR
99760,HLA-B,B2M,ENSG00000234745,ENSG00000166710,17057332,"MAJOR HISTOCOMPATIBILITY COMPLEX, CLASS I, B",BETA-2-MICROGLOBULIN
101891,PTN,PTN,ENSG00000105894,ENSG00000105894,15383276,PLEIOTROPHIN,PLEIOTROPHIN
101945,ITGAV,CSF1R,ENSG00000138448,ENSG00000182578,16600665,INTEGRIN SUBUNIT ALPHA V,COLONY STIMULATING FACTOR 1 RECEPTOR
102055,LRP6,WNT3A,ENSG00000070018,ENSG00000154342,19910923,LDL RECEPTOR RELATED PROTEIN 6,WNT FAMILY MEMBER 3A
102056,LRP6,WNT5A,ENSG00000070018,ENSG00000114251,19910923,LDL RECEPTOR RELATED PROTEIN 6,WNT FAMILY MEMBER 5A
102119,CUBN,CUBN,ENSG00000107611,ENSG00000107611,20237569,CUBILIN,CUBILIN
102231,PLAU,PLAUR,ENSG00000122861,ENSG00000011422,16879932,"PLASMINOGEN ACTIVATOR, UROKINASE","PLASMINOGEN ACTIVATOR, UROKINASE RECEPTOR"
102606,FAS,FAS,ENSG00000026103,ENSG00000026103,8940097,FAS CELL SURFACE DEATH RECEPTOR,FAS CELL SURFACE DEATH RECEPTOR
103800,KCNH2,CAV3,ENSG00000055118,ENSG00000182533,22879586,POTASSIUM VOLTAGE-GATED CHANNEL SUBFAMILY H MEMBER 2,CAVEOLIN 3
103801,CAV3,KCNH2,ENSG00000182533,ENSG00000055118,22879586,CAVEOLIN 3,POTASSIUM VOLTAGE-GATED CHANNEL SUBFAMILY H MEMBER 2
104752,MAP3K5,MAP3K5,ENSG00000197442,ENSG00000197442,17724081,MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE 5,MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE 5
105375,CLU,CD209,ENSG00000120885,ENSG00000090659,22013110,CLUSTERIN,CD209 MOLECULE
105486,FAS,MAP3K5,ENSG00000026103,ENSG00000197442,11495919,FAS CELL SURFACE DEATH RECEPTOR,MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE 5
106032,TNFRSF1A,TRPC4,ENSG00000067182,ENSG00000133107,20458742,TNF RECEPTOR SUPERFAMILY MEMBER 1A,TRANSIENT RECEPTOR POTENTIAL CATION CHANNEL SUBFAMILY C MEMBER 4
106492,CD209,CEACAM5,ENSG00000090659,ENSG00000105388,21515679,CD209 MOLECULE,CARCINOEMBRYONIC ANTIGEN RELATED CELL ADHESION MOLECULE 5
106996,KCNA5,TFRC,ENSG00000130037,ENSG00000072274,18218624,POTASSIUM VOLTAGE-GATED CHANNEL SUBFAMILY A MEMBER 5,TRANSFERRIN RECEPTOR
107000,KCNA5,KCNA5,ENSG00000130037,ENSG00000130037,18218624,POTASSIUM VOLTAGE-GATED CHANNEL SUBFAMILY A MEMBER 5,POTASSIUM VOLTAGE-GATED CHANNEL SUBFAMILY A MEMBER 5
107178,TNFRSF9,TNFRSF4,ENSG00000049249,ENSG00000186827,15941918,TNF RECEPTOR SUPERFAMILY MEMBER 9,TNF RECEPTOR SUPERFAMILY MEMBER 4
107179,TNFRSF4,TNFRSF9,ENSG00000186827,ENSG00000049249,15941918,TNF RECEPTOR SUPERFAMILY MEMBER 4,TNF RECEPTOR SUPERFAMILY MEMBER 9
107563,ITGB1,ITGA1,ENSG00000150093,ENSG00000213949,12883474,INTEGRIN SUBUNIT BETA 1,INTEGRIN SUBUNIT ALPHA 1
107564,ITGB1,ITGA5,ENSG00000150093,ENSG00000161638,12883474,INTEGRIN SUBUNIT BETA 1,INTEGRIN SUBUNIT ALPHA 5
107565,ITGB1,ITGA6,ENSG00000150093,ENSG00000091409,12883474,INTEGRIN SUBUNIT BETA 1,INTEGRIN SUBUNIT ALPHA 6
107719,NGFR,NGFR,ENSG00000064300,ENSG00000064300,14960584,NERVE GROWTH FACTOR RECEPTOR,NERVE GROWTH FACTOR RECEPTOR
110304,CLU,CLU,ENSG00000120885,ENSG00000120885,17872975,CLUSTERIN,CLUSTERIN
110329,APP,CLU,ENSG00000142192,ENSG00000120885,9228033,AMYLOID BETA PRECURSOR PROTEIN,CLUSTERIN
110330,APP,LRP2,ENSG00000142192,ENSG00000081479,9228033,AMYLOID BETA PRECURSOR PROTEIN,LDL RECEPTOR RELATED PROTEIN 2
110331,CLU,LRP2,ENSG00000120885,ENSG00000081479,9228033,CLUSTERIN,LDL RECEPTOR RELATED PROTEIN 2
110559,TNFRSF10A,TNFRSF10B,ENSG00000104689,ENSG00000120889,15388581,TNF RECEPTOR SUPERFAMILY MEMBER 10A,TNF RECEPTOR SUPERFAMILY MEMBER 10B
110624,CRYAB,CRYAB,ENSG00000109846,ENSG00000109846,16480679,CRYSTALLIN ALPHA B,CRYSTALLIN ALPHA B
110734,AMOT,AMOT,ENSG00000126016,ENSG00000126016,16678097,ANGIOMOTIN,ANGIOMOTIN
110811,LRP2,CLU,ENSG00000081479,ENSG00000120885,17260971,LDL RECEPTOR RELATED PROTEIN 2,CLUSTERIN
110946,CRYAB,APP,ENSG00000109846,ENSG00000142192,16053447,CRYSTALLIN ALPHA B,AMYLOID BETA PRECURSOR PROTEIN
111085,CRYAB,CRYAB,ENSG00000109846,ENSG00000109846,12601044,CRYSTALLIN ALPHA B,CRYSTALLIN ALPHA B
111185,CRYAB,CRYAB,ENSG00000109846,ENSG00000109846,19140694,CRYSTALLIN ALPHA B,CRYSTALLIN ALPHA B
111188,CRYAB,CD40LG,ENSG00000109846,ENSG00000102245,21357544,CRYSTALLIN ALPHA B,CD40 LIGAND
111242,SCNN1B,SCNN1G,ENSG00000168447,ENSG00000166828,22526458,SODIUM CHANNEL EPITHELIAL 1 BETA SUBUNIT,SODIUM CHANNEL EPITHELIAL 1 GAMMA SUBUNIT
111378,CRYAB,CRYAB,ENSG00000109846,ENSG00000109846,17075130,CRYSTALLIN ALPHA B,CRYSTALLIN ALPHA B
111490,B2M,B2M,ENSG00000166710,ENSG00000166710,18543331,BETA-2-MICROGLOBULIN,BETA-2-MICROGLOBULIN
111538,CRYAB,CRYAB,ENSG00000109846,ENSG00000109846,18941542,CRYSTALLIN ALPHA B,CRYSTALLIN ALPHA B
111553,RARA,FAS,ENSG00000131759,ENSG00000026103,21803845,RETINOIC ACID RECEPTOR ALPHA,FAS CELL SURFACE DEATH RECEPTOR
111555,FASLG,FAS,ENSG00000117560,ENSG00000026103,21803845,FAS LIGAND,FAS CELL SURFACE DEATH RECEPTOR
111688,CRYAB,CRYAB,ENSG00000109846,ENSG00000109846,20802487,CRYSTALLIN ALPHA B,CRYSTALLIN ALPHA B
111773,ITGA2,ITGB1,ENSG00000164171,ENSG00000150093,21947080,INTEGRIN SUBUNIT ALPHA 2,INTEGRIN SUBUNIT BETA 1
111774,ITGA5,ITGB1,ENSG00000161638,ENSG00000150093,21947080,INTEGRIN SUBUNIT ALPHA 5,INTEGRIN SUBUNIT BETA 1
111779,CRYAB,CRYAB,ENSG00000109846,ENSG00000109846,19646995,CRYSTALLIN ALPHA B,CRYSTALLIN ALPHA B
111901,APP,CLU,ENSG00000142192,ENSG00000120885,8328966,AMYLOID BETA PRECURSOR PROTEIN,CLUSTERIN
111928,CRYAB,CRYAB,ENSG00000109846,ENSG00000109846,22143763,CRYSTALLIN ALPHA B,CRYSTALLIN ALPHA B
111972,CLU,HSPD1,ENSG00000120885,ENSG00000144381,22012253,CLUSTERIN,HEAT SHOCK PROTEIN FAMILY D (HSP60) MEMBER 1
111975,CLU,PRNP,ENSG00000120885,ENSG00000171867,18786636,CLUSTERIN,PRION PROTEIN
111976,PRNP,CLU,ENSG00000171867,ENSG00000120885,18786636,PRION PROTEIN,CLUSTERIN
112111,VEGFA,CRYAB,ENSG00000112715,ENSG00000109846,21984182,VASCULAR ENDOTHELIAL GROWTH FACTOR A,CRYSTALLIN ALPHA B
112149,GRIA2,GRIA1,ENSG00000120251,ENSG00000155511,18311135,GLUTAMATE IONOTROPIC RECEPTOR AMPA TYPE SUBUNIT 2,GLUTAMATE IONOTROPIC RECEPTOR AMPA TYPE SUBUNIT 1
112210,TNF,TNFRSF1A,ENSG00000232810,ENSG00000067182,23032187,TUMOR NECROSIS FACTOR,TNF RECEPTOR SUPERFAMILY MEMBER 1A
112428,CRYAB,VEGFA,ENSG00000109846,ENSG00000112715,17487982,CRYSTALLIN ALPHA B,VASCULAR ENDOTHELIAL GROWTH FACTOR A
112677,APP,CRYAB,ENSG00000142192,ENSG00000109846,17046756,AMYLOID BETA PRECURSOR PROTEIN,CRYSTALLIN ALPHA B
112719,CALR,KCNH2,ENSG00000179218,ENSG00000055118,22242185,CALRETICULIN,POTASSIUM VOLTAGE-GATED CHANNEL SUBFAMILY H MEMBER 2
113996,ROR2,WNT1,ENSG00000169071,ENSG00000125084,18762249,RECEPTOR TYROSINE KINASE LIKE ORPHAN RECEPTOR 2,WNT FAMILY MEMBER 1
114029,TGFBR1,TGFBR2,ENSG00000106799,ENSG00000163513,19758997,TRANSFORMING GROWTH FACTOR BETA RECEPTOR 1,TRANSFORMING GROWTH FACTOR BETA RECEPTOR 2
114050,MAP3K5,MBP,ENSG00000197442,ENSG00000197971,19293155,MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE 5,MYELIN BASIC PROTEIN
114154,PLAT,PDGFC,ENSG00000104368,ENSG00000145431,22035541,"PLASMINOGEN ACTIVATOR, TISSUE TYPE",PLATELET DERIVED GROWTH FACTOR C
114155,PLAU,PDGFC,ENSG00000122861,ENSG00000145431,22035541,"PLASMINOGEN ACTIVATOR, UROKINASE",PLATELET DERIVED GROWTH FACTOR C
114261,EGFR,EGFR,ENSG00000146648,ENSG00000146648,18271526,EPIDERMAL GROWTH FACTOR RECEPTOR,EPIDERMAL GROWTH FACTOR RECEPTOR
114298,TGFBR1,TGFBR2,ENSG00000106799,ENSG00000163513,19556242,TRANSFORMING GROWTH FACTOR BETA RECEPTOR 1,TRANSFORMING GROWTH FACTOR BETA RECEPTOR 2
114299,TGFBR2,TGFBR1,ENSG00000163513,ENSG00000106799,19556242,TRANSFORMING GROWTH FACTOR BETA RECEPTOR 2,TRANSFORMING GROWTH FACTOR BETA RECEPTOR 1
114475,MAP3K5,MBP,ENSG00000197442,ENSG00000197971,17331951,MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE 5,MYELIN BASIC PROTEIN
114498,ITGB1,ITGA7,ENSG00000150093,ENSG00000135424,11278916,INTEGRIN SUBUNIT BETA 1,INTEGRIN SUBUNIT ALPHA 7
114499,ITGA7,ITGB1,ENSG00000135424,ENSG00000150093,11278916,INTEGRIN SUBUNIT ALPHA 7,INTEGRIN SUBUNIT BETA 1
114676,CRYAB,CRYAB,ENSG00000109846,ENSG00000109846,18639655,CRYSTALLIN ALPHA B,CRYSTALLIN ALPHA B
115138,CRYAB,APP,ENSG00000109846,ENSG00000142192,21961594,CRYSTALLIN ALPHA B,AMYLOID BETA PRECURSOR PROTEIN
115715,TNFRSF10A,TNFRSF10B,ENSG00000104689,ENSG00000120889,19427028,TNF RECEPTOR SUPERFAMILY MEMBER 10A,TNF RECEPTOR SUPERFAMILY MEMBER 10B
117018,MAP3K5,MAP3K5,ENSG00000197442,ENSG00000197442,20213747,MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE 5,MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE 5
117440,B2M,HFE,ENSG00000166710,ENSG00000010704,20618438,BETA-2-MICROGLOBULIN,HOMEOSTATIC IRON REGULATOR
117575,HSPD1,APP,ENSG00000144381,ENSG00000142192,21832049,HEAT SHOCK PROTEIN FAMILY D (HSP60) MEMBER 1,AMYLOID BETA PRECURSOR PROTEIN
117740,ANXA9,APP,ENSG00000143412,ENSG00000142192,21832049,ANNEXIN A9,AMYLOID BETA PRECURSOR PROTEIN
117801,CD74,APP,ENSG00000019582,ENSG00000142192,21832049,CD74 MOLECULE,AMYLOID BETA PRECURSOR PROTEIN
117817,AIMP1,APP,ENSG00000164022,ENSG00000142192,21832049,AMINOACYL TRNA SYNTHETASE COMPLEX INTERACTING MULTIFUNCTIONAL PROTEIN 1,AMYLOID BETA PRECURSOR PROTEIN
117850,AMOT,APP,ENSG00000126016,ENSG00000142192,21832049,ANGIOMOTIN,AMYLOID BETA PRECURSOR PROTEIN
117942,TGFBR2,APP,ENSG00000163513,ENSG00000142192,21832049,TRANSFORMING GROWTH FACTOR BETA RECEPTOR 2,AMYLOID BETA PRECURSOR PROTEIN
117970,DMD,APP,ENSG00000198947,ENSG00000142192,21832049,DYSTROPHIN,AMYLOID BETA PRECURSOR PROTEIN
118000,SDC1,APP,ENSG00000115884,ENSG00000142192,21832049,SYNDECAN 1,AMYLOID BETA PRECURSOR PROTEIN
118070,IL15,APP,ENSG00000164136,ENSG00000142192,21832049,INTERLEUKIN 15,AMYLOID BETA PRECURSOR PROTEIN
118135,FGFR2,APP,ENSG00000066468,ENSG00000142192,21832049,FIBROBLAST GROWTH FACTOR RECEPTOR 2,AMYLOID BETA PRECURSOR PROTEIN
118250,SULF1,APP,ENSG00000137573,ENSG00000142192,21832049,SULFATASE 1,AMYLOID BETA PRECURSOR PROTEIN
118262,TFPI,APP,ENSG00000003436,ENSG00000142192,21832049,TISSUE FACTOR PATHWAY INHIBITOR,AMYLOID BETA PRECURSOR PROTEIN
118453,VAMP3,APP,ENSG00000049245,ENSG00000142192,21832049,VESICLE ASSOCIATED MEMBRANE PROTEIN 3,AMYLOID BETA PRECURSOR PROTEIN
118460,NDP,APP,ENSG00000124479,ENSG00000142192,21832049,NORRIN CYSTINE KNOT GROWTH FACTOR NDP,AMYLOID BETA PRECURSOR PROTEIN
118522,IGHM,APP,MIM:147020|HGNC:HGNC:5541|IMGT/GENE-DB:IGHM,ENSG00000142192,21832049,IMMUNOGLOBULIN HEAVY CONSTANT MU,AMYLOID BETA PRECURSOR PROTEIN
118570,CD36,APP,ENSG00000135218,ENSG00000142192,21832049,CD36 MOLECULE,AMYLOID BETA PRECURSOR PROTEIN
118584,CD58,APP,ENSG00000116815,ENSG00000142192,21832049,CD58 MOLECULE,AMYLOID BETA PRECURSOR PROTEIN
118589,APOA1,APP,ENSG00000118137,ENSG00000142192,21832049,APOLIPOPROTEIN A1,AMYLOID BETA PRECURSOR PROTEIN
118595,LPL,APP,ENSG00000175445,ENSG00000142192,21832049,LIPOPROTEIN LIPASE,AMYLOID BETA PRECURSOR PROTEIN
118757,AGER,APP,ENSG00000204305,ENSG00000142192,21832049,ADVANCED GLYCOSYLATION END-PRODUCT SPECIFIC RECEPTOR,AMYLOID BETA PRECURSOR PROTEIN
118843,ANXA2,APP,ENSG00000182718,ENSG00000142192,21832049,ANNEXIN A2,AMYLOID BETA PRECURSOR PROTEIN
118853,FERMT2,APP,ENSG00000073712,ENSG00000142192,21832049,FERMITIN FAMILY MEMBER 2,AMYLOID BETA PRECURSOR PROTEIN
118867,EPHA2,APP,ENSG00000142627,ENSG00000142192,21832049,EPH RECEPTOR A2,AMYLOID BETA PRECURSOR PROTEIN
118868,LGALS3,APP,ENSG00000131981,ENSG00000142192,21832049,GALECTIN 3,AMYLOID BETA PRECURSOR PROTEIN
118904,TMX3,APP,ENSG00000166479,ENSG00000142192,21832049,THIOREDOXIN RELATED TRANSMEMBRANE PROTEIN 3,AMYLOID BETA PRECURSOR PROTEIN
118990,HAVCR2,APP,ENSG00000135077,ENSG00000142192,21832049,HEPATITIS A VIRUS CELLULAR RECEPTOR 2,AMYLOID BETA PRECURSOR PROTEIN
119043,TEK,APP,ENSG00000120156,ENSG00000142192,21832049,TEK RECEPTOR TYROSINE KINASE,AMYLOID BETA PRECURSOR PROTEIN
119053,ROR1,APP,ENSG00000185483,ENSG00000142192,21832049,RECEPTOR TYROSINE KINASE LIKE ORPHAN RECEPTOR 1,AMYLOID BETA PRECURSOR PROTEIN
119055,HSPA2,APP,ENSG00000126803,ENSG00000142192,21832049,HEAT SHOCK PROTEIN FAMILY A (HSP70) MEMBER 2,AMYLOID BETA PRECURSOR PROTEIN
119132,FCGR3A,APP,ENSG00000203747,ENSG00000142192,21832049,FC FRAGMENT OF IGG RECEPTOR IIIA,AMYLOID BETA PRECURSOR PROTEIN
119145,ANXA5,APP,ENSG00000164111,ENSG00000142192,21832049,ANNEXIN A5,AMYLOID BETA PRECURSOR PROTEIN
119149,WNT4,APP,ENSG00000162552,ENSG00000142192,21832049,WNT FAMILY MEMBER 4,AMYLOID BETA PRECURSOR PROTEIN
119187,MS4A2,APP,ENSG00000149534,ENSG00000142192,21832049,MEMBRANE SPANNING 4-DOMAINS A2,AMYLOID BETA PRECURSOR PROTEIN
119193,CACNG2,APP,ENSG00000166862,ENSG00000142192,21832049,CALCIUM VOLTAGE-GATED CHANNEL AUXILIARY SUBUNIT GAMMA 2,AMYLOID BETA PRECURSOR PROTEIN
119264,ITGA6,APP,ENSG00000091409,ENSG00000142192,21832049,INTEGRIN SUBUNIT ALPHA 6,AMYLOID BETA PRECURSOR PROTEIN
119268,AREG,APP,ENSG00000109321,ENSG00000142192,21832049,AMPHIREGULIN,AMYLOID BETA PRECURSOR PROTEIN
119304,CEACAM6,APP,ENSG00000086548,ENSG00000142192,21832049,CARCINOEMBRYONIC ANTIGEN RELATED CELL ADHESION MOLECULE 6,AMYLOID BETA PRECURSOR PROTEIN
119305,IL1RL1,APP,ENSG00000115602,ENSG00000142192,21832049,INTERLEUKIN 1 RECEPTOR LIKE 1,AMYLOID BETA PRECURSOR PROTEIN
119355,PDIA3,APP,ENSG00000167004,ENSG00000142192,21832049,PROTEIN DISULFIDE ISOMERASE FAMILY A MEMBER 3,AMYLOID BETA PRECURSOR PROTEIN
119417,APP,PSEN1,ENSG00000142192,ENSG00000080815,21163940,AMYLOID BETA PRECURSOR PROTEIN,PRESENILIN 1
119703,PSEN1,HMGB1,ENSG00000080815,ENSG00000189403,21163940,PRESENILIN 1,HIGH MOBILITY GROUP BOX 1
120494,ITGA5,ITGB1,ENSG00000161638,ENSG00000150093,22939629,INTEGRIN SUBUNIT ALPHA 5,INTEGRIN SUBUNIT BETA 1
122560,ITGB1,TLN1,ENSG00000150093,ENSG00000137076,22939629,INTEGRIN SUBUNIT BETA 1,TALIN 1
122578,HSPD1,HSPA5,ENSG00000144381,ENSG00000044574,22939629,HEAT SHOCK PROTEIN FAMILY D (HSP60) MEMBER 1,HEAT SHOCK PROTEIN FAMILY A (HSP70) MEMBER 5
124051,HSPA5,P4HB,ENSG00000044574,ENSG00000185624,22939629,HEAT SHOCK PROTEIN FAMILY A (HSP70) MEMBER 5,PROLYL 4-HYDROXYLASE SUBUNIT BETA
124206,HSPD1,ITGB1,ENSG00000144381,ENSG00000150093,22939629,HEAT SHOCK PROTEIN FAMILY D (HSP60) MEMBER 1,INTEGRIN SUBUNIT BETA 1
124258,SLC3A2,CD44,ENSG00000168003,ENSG00000026508,22939629,SOLUTE CARRIER FAMILY 3 MEMBER 2,CD44 MOLECULE (INDIAN BLOOD GROUP)
124443,HSPA5,HSP90AB1,ENSG00000044574,ENSG00000096384,22939629,HEAT SHOCK PROTEIN FAMILY A (HSP70) MEMBER 5,HEAT SHOCK PROTEIN 90 ALPHA FAMILY CLASS B MEMBER 1
125372,HSPA5,PDIA3,ENSG00000044574,ENSG00000167004,22939629,HEAT SHOCK PROTEIN FAMILY A (HSP70) MEMBER 5,PROTEIN DISULFIDE ISOMERASE FAMILY A MEMBER 3
125552,P4HB,PDIA4,ENSG00000185624,ENSG00000155660,22939629,PROLYL 4-HYDROXYLASE SUBUNIT BETA,PROTEIN DISULFIDE ISOMERASE FAMILY A MEMBER 4
125593,HSPD1,HSP90AB1,ENSG00000144381,ENSG00000096384,22939629,HEAT SHOCK PROTEIN FAMILY D (HSP60) MEMBER 1,HEAT SHOCK PROTEIN 90 ALPHA FAMILY CLASS B MEMBER 1
125965,HNRNPU,TPBG,ENSG00000153187,ENSG00000146242,22939629,HETEROGENEOUS NUCLEAR RIBONUCLEOPROTEIN U,TROPHOBLAST GLYCOPROTEIN
126966,SLC3A2,VAMP3,ENSG00000168003,ENSG00000049245,22939629,SOLUTE CARRIER FAMILY 3 MEMBER 2,VESICLE ASSOCIATED MEMBRANE PROTEIN 3
128804,FOLR1,GSR,ENSG00000110195,ENSG00000104687,22939629,FOLATE RECEPTOR 1,GLUTATHIONE-DISULFIDE REDUCTASE
129603,EGFR,PICALM,ENSG00000146648,ENSG00000073921,22939629,EPIDERMAL GROWTH FACTOR RECEPTOR,PHOSPHATIDYLINOSITOL BINDING CLATHRIN ASSEMBLY PROTEIN
129897,FLOT1,HM13,ENSG00000137312,ENSG00000101294,22939629,FLOTILLIN 1,HISTOCOMPATIBILITY MINOR 13
130059,FLOT1,PICALM,ENSG00000137312,ENSG00000073921,22939629,FLOTILLIN 1,PHOSPHATIDYLINOSITOL BINDING CLATHRIN ASSEMBLY PROTEIN
130909,ANXA1,ANXA4,ENSG00000135046,ENSG00000196975,22939629,ANNEXIN A1,ANNEXIN A4
130917,HNRNPU,ITGB4,ENSG00000153187,ENSG00000132470,22939629,HETEROGENEOUS NUCLEAR RIBONUCLEOPROTEIN U,INTEGRIN SUBUNIT BETA 4
131278,FLOT1,LMAN2,ENSG00000137312,ENSG00000169223,22939629,FLOTILLIN 1,"LECTIN, MANNOSE BINDING 2"
131708,CALR,P4HB,ENSG00000179218,ENSG00000185624,22939629,CALRETICULIN,PROLYL 4-HYDROXYLASE SUBUNIT BETA
131750,HNRNPU,ITGA5,ENSG00000153187,ENSG00000161638,22939629,HETEROGENEOUS NUCLEAR RIBONUCLEOPROTEIN U,INTEGRIN SUBUNIT ALPHA 5
132743,NOTCH2,PLAUR,ENSG00000134250,ENSG00000011422,22939629,NOTCH RECEPTOR 2,"PLASMINOGEN ACTIVATOR, UROKINASE RECEPTOR"
133265,ABCC2,PICALM,ENSG00000023839,ENSG00000073921,22939629,ATP BINDING CASSETTE SUBFAMILY C MEMBER 2,PHOSPHATIDYLINOSITOL BINDING CLATHRIN ASSEMBLY PROTEIN
133474,HSPA5,LGALS1,ENSG00000044574,ENSG00000100097,22939629,HEAT SHOCK PROTEIN FAMILY A (HSP70) MEMBER 5,GALECTIN 1
133485,CD55,PICALM,ENSG00000196352,ENSG00000073921,22939629,CD55 MOLECULE (CROMER BLOOD GROUP),PHOSPHATIDYLINOSITOL BINDING CLATHRIN ASSEMBLY PROTEIN
133518,CDH2,PDIA4,ENSG00000170558,ENSG00000155660,22939629,CADHERIN 2,PROTEIN DISULFIDE ISOMERASE FAMILY A MEMBER 4
133838,FGFR3,FGFR3,ENSG00000068078,ENSG00000068078,11294897,FIBROBLAST GROWTH FACTOR RECEPTOR 3,FIBROBLAST GROWTH FACTOR RECEPTOR 3
134008,APP,APP,ENSG00000142192,ENSG00000142192,23261462,AMYLOID BETA PRECURSOR PROTEIN,AMYLOID BETA PRECURSOR PROTEIN
134073,EGFR,TRPV1,ENSG00000146648,ENSG00000196689,19155296,EPIDERMAL GROWTH FACTOR RECEPTOR,TRANSIENT RECEPTOR POTENTIAL CATION CHANNEL SUBFAMILY V MEMBER 1
134074,TRPV1,EGFR,ENSG00000196689,ENSG00000146648,19155296,TRANSIENT RECEPTOR POTENTIAL CATION CHANNEL SUBFAMILY V MEMBER 1,EPIDERMAL GROWTH FACTOR RECEPTOR
134113,PSEN1,PSEN1,ENSG00000080815,ENSG00000080815,15474363,PRESENILIN 1,PRESENILIN 1
134743,HLA-A,B2M,ENSG00000206503,ENSG00000166710,8805302,"MAJOR HISTOCOMPATIBILITY COMPLEX, CLASS I, A",BETA-2-MICROGLOBULIN
135036,B4GALT1,B4GALT1,ENSG00000086062,ENSG00000086062,7744867,"BETA-1,4-GALACTOSYLTRANSFERASE 1","BETA-1,4-GALACTOSYLTRANSFERASE 1"
135037,TFRC,B4GALT1,ENSG00000072274,ENSG00000086062,7744867,TRANSFERRIN RECEPTOR,"BETA-1,4-GALACTOSYLTRANSFERASE 1"
135049,CALR,HLA-E,ENSG00000179218,ENSG00000204592,9427624,CALRETICULIN,"MAJOR HISTOCOMPATIBILITY COMPLEX, CLASS I, E"
137960,EGFR,HSP90AB1,ENSG00000146648,ENSG00000096384,12471035,EPIDERMAL GROWTH FACTOR RECEPTOR,HEAT SHOCK PROTEIN 90 ALPHA FAMILY CLASS B MEMBER 1
137961,EGFR,HSPA5,ENSG00000146648,ENSG00000044574,12471035,EPIDERMAL GROWTH FACTOR RECEPTOR,HEAT SHOCK PROTEIN FAMILY A (HSP70) MEMBER 5
139421,PKD1,PKD1,ENSG00000008710,ENSG00000008710,11901144,"POLYCYSTIN 1, TRANSIENT RECEPTOR POTENTIAL CHANNEL INTERACTING","POLYCYSTIN 1, TRANSIENT RECEPTOR POTENTIAL CHANNEL INTERACTING"
