Gene / Product (bioentity),Gene / Product (bioentity_label),Gene / Product (bioentity_name),Synonyms,Organism (taxon_label),Type,Source,PANTHER family (panther_family_label),PANTHER family (panther_family),Direct annotation (annotation_class_list_label),Direct annotation (annotation_class_list),Inferred annotation (annotation_class_list_label),Inferred annotation (annotation_class_list)
UniProtKB:O95868,LY6G6D,Lymphocyte antigen 6 complex locus protein G6d,C6orf23|G6D|MEGT1|NG25,Homo sapiens,protein,UniProtKB,family not named pthr32286,PANTHER:PTHR32286,identical protein binding|negative regulation of signaling receptor activity|acetylcholine receptor signaling pathway|acetylcholine receptor inhibitor activity|protein homooligomerization|external side of plasma membrane|filopodium|protein-containing complex|extracellular region|plasma membrane|anchored component of membrane,GO:0042802|GO:2000272|GO:0095500|GO:0030550|GO:0051260|GO:0009897|GO:0030175|GO:0032991|GO:0005576|GO:0005886|GO:0031225,,
UniProtKB:O95867,LY6G6C,Lymphocyte antigen 6 complex locus protein G6c,C6orf24|G6C|NG24|UNQ1947/PRO4430,Homo sapiens,protein,UniProtKB,family not named pthr32149,PANTHER:PTHR32149,response to bacterium|identical protein binding|protein homooligomerization|external side of plasma membrane|protein-containing complex|extracellular region|plasma membrane|anchored component of membrane,GO:0009617|GO:0042802|GO:0051260|GO:0009897|GO:0032991|GO:0005576|GO:0005886|GO:0031225,,
UniProtKB:O95858,TSPAN15,Tetraspanin-15,NET7|TM4SF15|UNQ677/PRO1311,Homo sapiens,protein,UniProtKB,tetraspanin pthr19282,PANTHER:PTHR19282,endoplasmic reticulum lumen|late endosome membrane|protein binding|cellular protein metabolic process|protein maturation|plasma membrane|protein localization to plasma membrane|tetraspanin-enriched microdomain|cell surface|enzyme binding,GO:0005788|GO:0031902|GO:0005515|GO:0044267|GO:0051604|GO:0005886|GO:0072659|GO:0097197|GO:0009986|GO:0019899,,
UniProtKB:P52803,EFNA5,Ephrin-A5,EPLG7|LERK7,Homo sapiens,protein,UniProtKB,ephrin pthr11304,PANTHER:PTHR11304,activation of transmembrane receptor protein tyrosine kinase activity|regulation of insulin secretion involved in cellular response to glucose stimulus|neurotrophin TRKC receptor binding|negative chemotaxis|regulation of microtubule cytoskeleton organization|regulation of cell morphogenesis|regulation of cell-cell adhesion|anchored component of external side of plasma membrane|nervous system development|ephrin receptor binding|cellular response to follicle-stimulating hormone stimulus|basement membrane|caveola|positive regulation of synapse assembly|positive regulation of peptidyl-tyrosine phosphorylation|retinal ganglion cell axon guidance|cellular response to forskolin|negative regulation of substrate adhesion-dependent cell spreading|collateral sprouting|chemorepellent activity|neurotrophin TRKB receptor binding|neurotrophin TRKA receptor binding|plasma membrane|synaptic membrane adhesion|positive regulation of collateral sprouting|GABA-ergic synapse|adherens junction|regulation of focal adhesion assembly|protein binding|regulation of actin cytoskeleton organization|positive regulation of protein phosphorylation|regulation of GTPase activity|ephrin receptor signaling pathway|transmembrane receptor protein tyrosine kinase activator activity,GO:0007171|GO:0061178|GO:0005170|GO:0050919|GO:0070507|GO:0022604|GO:0022407|GO:0031362|GO:0007399|GO:0046875|GO:0071372|GO:0005604|GO:0005901|GO:0051965|GO:0050731|GO:0031290|GO:1904322|GO:1900025|GO:0048668|GO:0045499|GO:0005169|GO:0005168|GO:0005886|GO:0099560|GO:0048672|GO:0098982|GO:0005912|GO:0051893|GO:0005515|GO:0032956|GO:0001934|GO:0043087|GO:0048013|GO:0030297,,
UniProtKB:Q9P2N4,ADAMTS9,A disintegrin and metalloproteinase with thrombospondin motifs 9,KIAA1312,Homo sapiens,protein,UniProtKB,adamts  a disintegrin and metalloprotease with thrombospondin motifs  protease pthr13723,PANTHER:PTHR13723,negative regulation of sprouting angiogenesis|zinc ion binding|multicellular organism development|protein transport|endothelial cell-matrix adhesion|collagen-containing extracellular matrix|endoplasmic reticulum|positive regulation of melanocyte differentiation|metalloendopeptidase activity|heart valve morphogenesis|metallopeptidase activity|cell surface|glycoprotein catabolic process|extracellular space|response to bacterium|aorta morphogenesis|vesicle-mediated transport|ventricular cardiac muscle tissue development|intracellular membrane-bounded organelle|proteolysis|extracellular matrix organization|extracellular matrix|negative regulation of endothelial cell migration,GO:1903671|GO:0008270|GO:0007275|GO:0015031|GO:0090673|GO:0062023|GO:0005783|GO:0045636|GO:0004222|GO:0003179|GO:0008237|GO:0009986|GO:0006516|GO:0005615|GO:0009617|GO:0035909|GO:0016192|GO:0003229|GO:0043231|GO:0006508|GO:0030198|GO:0031012|GO:0010596,,
UniProtKB:O75581,LRP6,Low-density lipoprotein receptor-related protein 6,,Homo sapiens,protein,UniProtKB,family not named pthr24270,PANTHER:PTHR24270,"negative regulation of smooth muscle cell apoptotic process|Wnt-activated receptor activity|coreceptor activity involved in Wnt signaling pathway|Golgi apparatus|positive regulation of DNA-binding transcription factor activity|frizzled binding|coreceptor activity involved in canonical Wnt signaling pathway|caveola|positive regulation of transcription, DNA-templated|Wnt signaling pathway|Wnt-protein binding|neural crest cell differentiation|low-density lipoprotein particle receptor activity|toxin transport|midbrain dopaminergic neuron differentiation|response to peptide hormone|plasma membrane|early endosome membrane|protein binding|Wnt-Frizzled-LRP5/6 complex|neural crest formation|protein localization to plasma membrane|Wnt signalosome|positive regulation of cell cycle|canonical Wnt signaling pathway involved in neural crest cell differentiation|Wnt signaling pathway involved in midbrain dopaminergic neuron differentiation|extracellular region|positive regulation of transcription by RNA polymerase II|negative regulation of protein kinase activity|early endosome|canonical Wnt signaling pathway involved in regulation of cell proliferation|cellular response to cholesterol|cytoplasmic vesicle|canonical Wnt signaling pathway|identical protein binding|protein homodimerization activity|endoplasmic reticulum|beta-catenin destruction complex disassembly|signaling receptor binding|positive regulation of cytosolic calcium ion concentration|cell surface|negative regulation of canonical Wnt signaling pathway|dopaminergic neuron differentiation|negative regulation of protein phosphorylation|kinase inhibitor activity|integral component of membrane|negative regulation of protein serine/threonine kinase activity|cell-cell adhesion|toxin transmembrane transporter activity",GO:0034392|GO:0042813|GO:0071936|GO:0005794|GO:0051091|GO:0005109|GO:1904928|GO:0005901|GO:0045893|GO:0016055|GO:0017147|GO:0014033|GO:0005041|GO:1901998|GO:1904948|GO:0043434|GO:0005886|GO:0031901|GO:0005515|GO:1990851|GO:0014029|GO:0072659|GO:1990909|GO:0045787|GO:0044335|GO:1904953|GO:0005576|GO:0045944|GO:0006469|GO:0005769|GO:0044340|GO:0071397|GO:0031410|GO:0060070|GO:0042802|GO:0042803|GO:0005783|GO:1904886|GO:0005102|GO:0007204|GO:0009986|GO:0090090|GO:0071542|GO:0001933|GO:0019210|GO:0016021|GO:0071901|GO:0098609|GO:0019534,,
UniProtKB:Q9UII2,ATP5IF1,"ATPase inhibitor, mitochondrial",ATPI|ATPIF1,Homo sapiens,protein,UniProtKB,atpase inhibitor/5-formyltetrahydrofolate cyclo-ligase pthr23407,PANTHER:PTHR23407,mitochondrial proton-transporting ATP synthase complex binding|heme biosynthetic process|negative regulation of hydrolase activity|mitochondrial depolarization|protein homotetramerization|angiogenesis|enzyme inhibitor activity|generation of precursor metabolites and energy|positive regulation of proteolysis involved in cellular protein catabolic process|protein homodimerization activity|positive regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway|negative regulation of ATPase activity|protein homooligomerization|angiostatin binding|regulation of protein targeting to mitochondrion|regulation of ATP metabolic process|positive regulation of autophagy of mitochondrion in response to mitochondrial depolarization|cell surface|reactive oxygen species metabolic process|calmodulin binding|erythrocyte differentiation|ATPase inhibitor activity|mitochondrion|negative regulation of endothelial cell proliferation|enzyme binding|ATPase binding,GO:0140260|GO:0006783|GO:0051346|GO:0051882|GO:0051289|GO:0001525|GO:0004857|GO:0006091|GO:1903052|GO:0042803|GO:1901030|GO:0032780|GO:0051260|GO:0043532|GO:1903214|GO:1903578|GO:1904925|GO:0009986|GO:0072593|GO:0005516|GO:0030218|GO:0042030|GO:0005739|GO:0001937|GO:0019899|GO:0051117,,
UniProtKB:P10747,CD28,T-cell-specific surface glycoprotein CD28,,Homo sapiens,protein,UniProtKB,cytotoxic t-lymphocyte protein pthr11494,PANTHER:PTHR11494,positive regulation of phosphatidylinositol 3-kinase signaling|SH3/SH2 adaptor activity|positive regulation of translation|external side of plasma membrane|T cell activation|regulation of regulatory T cell differentiation|apoptotic signaling pathway|protease binding|positive regulation of mitotic nuclear division|positive regulation of transcription by RNA polymerase II|immunological synapse|integral component of plasma membrane|positive regulation of alpha-beta T cell proliferation|regulation of defense response to virus by virus|humoral immune response|cytosol|protein complex involved in cell adhesion|positive regulation of viral genome replication|coreceptor activity|protein kinase binding|identical protein binding|T cell costimulation|cytokine biosynthetic process|cell surface receptor signaling pathway|positive regulation of isotype switching to IgG isotypes|positive regulation of T cell proliferation|plasma membrane|cell surface|positive regulation of inflammatory response to antigenic stimulus|negative regulation of gene expression|positive regulation of interleukin-2 biosynthetic process|protein binding|positive regulation of gene expression|negative regulation of apoptotic process|regulatory T cell differentiation|positive regulation of interleukin-10 production|negative thymic T cell selection|positive regulation of interleukin-4 production|positive regulation of protein kinase B signaling,GO:0014068|GO:0005070|GO:0045727|GO:0009897|GO:0042110|GO:0045589|GO:0097190|GO:0002020|GO:0045840|GO:0045944|GO:0001772|GO:0005887|GO:0046641|GO:0050690|GO:0006959|GO:0005829|GO:0098636|GO:0045070|GO:0015026|GO:0019901|GO:0042802|GO:0031295|GO:0042089|GO:0007166|GO:0048304|GO:0042102|GO:0005886|GO:0009986|GO:0002863|GO:0010629|GO:0045086|GO:0005515|GO:0010628|GO:0043066|GO:0045066|GO:0032733|GO:0045060|GO:0032753|GO:0051897,,
UniProtKB:P10721,KIT,Mast/stem cell growth factor receptor Kit,SCFR,Homo sapiens,protein,UniProtKB,tyrosine-protein kinase receptor pthr24416,PANTHER:PTHR24416,peptidyl-tyrosine phosphorylation|positive regulation of phosphatidylinositol 3-kinase signaling|regulation of bile acid metabolic process|positive regulation of vascular smooth muscle cell differentiation|male gonad development|embryonic hemopoiesis|protein autophosphorylation|visual learning|positive regulation of tyrosine phosphorylation of STAT protein|negative regulation of programmed cell death|tongue development|mast cell degranulation|positive regulation of DNA-binding transcription factor activity|lymphoid progenitor cell differentiation|glycosphingolipid metabolic process|cell chemotaxis|activation of MAPK activity|inflammatory response|epithelial cell proliferation|melanocyte migration|digestive tract development|acrosomal vesicle|myeloid progenitor cell differentiation|pigmentation|melanocyte adhesion|mast cell cytokine production|detection of mechanical stimulus involved in sensory perception of sound|Kit signaling pathway|stem cell population maintenance|ectopic germ cell programmed cell death|positive regulation of pseudopodium assembly|mast cell granule|positive regulation of colon smooth muscle contraction|positive regulation of phosphatidylinositol 3-kinase activity|dendritic cell cytokine production|positive regulation of small intestine smooth muscle contraction|germ cell migration|plasma membrane|positive regulation of receptor signaling pathway via JAK-STAT|T cell differentiation|protein binding|cell-cell junction|erythrocyte differentiation|immature B cell differentiation|metal ion binding|positive regulation of gene expression|hematopoietic stem cell migration|positive regulation of phospholipase C activity|positive regulation of pyloric antrum smooth muscle contraction|cytokine binding|positive regulation of protein kinase B signaling|positive regulation of long-term neuronal synaptic plasticity|regulation of cell shape|hemopoiesis|external side of plasma membrane|protease binding|positive regulation of Notch signaling pathway|Fc receptor signaling pathway|cytoplasmic side of plasma membrane|cellular response to thyroid hormone stimulus|MAPK cascade|ATP binding|protein tyrosine kinase activity|stem cell differentiation|transmembrane receptor protein tyrosine kinase activity|somatic stem cell division|mast cell proliferation|cytokine-mediated signaling pathway|somatic stem cell population maintenance|megakaryocyte development|actin cytoskeleton reorganization|mast cell differentiation|protein homodimerization activity|signal transduction|spermatid development|stem cell factor receptor activity|spermatogenesis|response to cadmium ion|erythropoietin-mediated signaling pathway|positive regulation of MAPK cascade|SH2 domain binding|mast cell chemotaxis|regulation of cell population proliferation|ovarian follicle development|regulation of transcription by RNA polymerase II|extracellular space|melanocyte differentiation|regulation of developmental pigmentation|lamellipodium assembly,GO:0018108|GO:0014068|GO:1904251|GO:1905065|GO:0008584|GO:0035162|GO:0046777|GO:0008542|GO:0042531|GO:0043069|GO:0043586|GO:0043303|GO:0051091|GO:0002320|GO:0006687|GO:0060326|GO:0000187|GO:0006954|GO:0050673|GO:0097324|GO:0048565|GO:0001669|GO:0002318|GO:0043473|GO:0097326|GO:0032762|GO:0050910|GO:0038109|GO:0019827|GO:0035234|GO:0031274|GO:0042629|GO:1904343|GO:0043552|GO:0002371|GO:1904349|GO:0008354|GO:0005886|GO:0046427|GO:0030217|GO:0005515|GO:0005911|GO:0030218|GO:0002327|GO:0046872|GO:0010628|GO:0035701|GO:0010863|GO:0120072|GO:0019955|GO:0051897|GO:0048170|GO:0008360|GO:0030097|GO:0009897|GO:0002020|GO:0045747|GO:0038093|GO:0009898|GO:0097067|GO:0000165|GO:0005524|GO:0004713|GO:0048863|GO:0004714|GO:0048103|GO:0070662|GO:0019221|GO:0035019|GO:0035855|GO:0031532|GO:0060374|GO:0042803|GO:0007165|GO:0007286|GO:0005020|GO:0007283|GO:0046686|GO:0038162|GO:0043410|GO:0042169|GO:0002551|GO:0042127|GO:0001541|GO:0006357|GO:0005615|GO:0030318|GO:0048070|GO:0030032,,
UniProtKB:Q9Y490,TLN1,Talin-1,KIAA1027|TLN,Homo sapiens,protein,UniProtKB,talin pthr19981,PANTHER:PTHR19981,IRE1-mediated unfolded protein response|integrin binding|extracellular region|cytoskeletal anchoring at plasma membrane|platelet degranulation|cortical actin cytoskeleton organization|phosphatidylserine binding|integrin-mediated signaling pathway|extracellular exosome|focal adhesion|muscle contraction|cadherin binding|ruffle|viral process|cytosol|vinculin binding|ruffle membrane|platelet aggregation|cell-cell junction assembly|cell-substrate junction assembly|phosphatidylinositol binding|structural constituent of cytoskeleton|cell surface|actin filament binding|protein binding|cytoskeleton|LIM domain binding|integrin activation,GO:0036498|GO:0005178|GO:0005576|GO:0007016|GO:0002576|GO:0030866|GO:0001786|GO:0007229|GO:0070062|GO:0005925|GO:0006936|GO:0045296|GO:0001726|GO:0016032|GO:0005829|GO:0017166|GO:0032587|GO:0070527|GO:0007043|GO:0007044|GO:0035091|GO:0005200|GO:0009986|GO:0051015|GO:0005515|GO:0005856|GO:0030274|GO:0033622,,
UniProtKB:P00390,GSR,"Glutathione reductase, mitochondrial",GLUR|GRD1,Homo sapiens,protein,UniProtKB,family not named pthr42737,PANTHER:PTHR42737,NADP binding|extracellular exosome|mitochondrial matrix|electron transfer activity|nucleobase-containing small molecule interconversion|external side of plasma membrane|cellular oxidant detoxification|cytosol|cellular response to oxidative stress|electron transport chain,GO:0050661|GO:0070062|GO:0005759|GO:0009055|GO:0015949|GO:0009897|GO:0098869|GO:0005829|GO:0034599|GO:0022900,,
UniProtKB:Q9UHP7,CLEC2D,C-type lectin domain family 2 member D,CLAX|LLT1|OCIL,Homo sapiens,protein,UniProtKB,family not named pthr45710,PANTHER:PTHR45710,integral component of plasma membrane|transmembrane signaling receptor activity|membrane|endoplasmic reticulum|cell surface receptor signaling pathway|carbohydrate binding|plasma membrane|cell surface|regulation of immune response,GO:0005887|GO:0004888|GO:0016020|GO:0005783|GO:0007166|GO:0030246|GO:0005886|GO:0009986|GO:0050776,,
UniProtKB:Q04912,MST1R,Macrophage-stimulating protein receptor,PTK8|RON,Homo sapiens,protein,UniProtKB,tyrosine-protein kinase receptor pthr24416,PANTHER:PTHR24416,positive regulation of MAP kinase activity|peptidyl-tyrosine phosphorylation|signal transduction|macrophage colony-stimulating factor signaling pathway|positive regulation of cell population proliferation|macrophage colony-stimulating factor receptor activity|defense response|response to virus|vacuole|single fertilization|plasma membrane|cell surface|hepatocyte growth factor receptor signaling pathway|ATP binding|protein binding|innate immune response|stress fiber|positive regulation of protein kinase B signaling|enzyme binding,GO:0043406|GO:0018108|GO:0007165|GO:0038145|GO:0008284|GO:0005011|GO:0006952|GO:0009615|GO:0005773|GO:0007338|GO:0005886|GO:0009986|GO:0048012|GO:0005524|GO:0005515|GO:0045087|GO:0001725|GO:0051897|GO:0019899,,
UniProtKB:P22083,FUT4,"Alpha-(1,3)-fucosyltransferase 4",ELFT|FCT3A,Homo sapiens,protein,UniProtKB,"alpha- 1,3 -fucosyltransferase pthr11929",PANTHER:PTHR11929,carbohydrate metabolic process|fucosyltransferase activity|Golgi cisterna membrane|membrane|protein glycosylation|integral component of membrane|alpha-(1->3)-fucosyltransferase activity|Golgi apparatus|L-fucose catabolic process|cell surface|cell periphery,GO:0005975|GO:0008417|GO:0032580|GO:0016020|GO:0006486|GO:0016021|GO:0046920|GO:0005794|GO:0042355|GO:0009986|GO:0071944,,
UniProtKB:O75487,GPC4,Glypican-4,UNQ474/PRO937,Homo sapiens,protein,UniProtKB,glypican pthr10822,PANTHER:PTHR10822,"collagen-containing extracellular matrix|glycosaminoglycan biosynthetic process|external side of plasma membrane|lysosomal lumen|Golgi lumen|regulation of signal transduction|plasma membrane|regulation of presynapse assembly|glycosaminoglycan catabolic process|synaptic membrane adhesion|regulation of neurotransmitter receptor localization to postsynaptic specialization membrane|anchored component of presynaptic membrane|nucleus|coreceptor activity involved in Wnt signaling pathway, planar cell polarity pathway|retinoid metabolic process|extracellular exosome|Wnt signaling pathway, planar cell polarity pathway|glutamatergic synapse",GO:0062023|GO:0006024|GO:0009897|GO:0043202|GO:0005796|GO:0009966|GO:0005886|GO:1905606|GO:0006027|GO:0099560|GO:0098696|GO:0099026|GO:0005634|GO:1904929|GO:0001523|GO:0070062|GO:0060071|GO:0098978,,
UniProtKB:P49238,CX3CR1,CX3C chemokine receptor 1,CMKBRL1|GPR13,Homo sapiens,protein,UniProtKB,cell adhesion molecule pthr10489,PANTHER:PTHR10489,"negative regulation of angiogenesis|negative regulation of interleukin-1 beta production|neuronal cell body membrane|regulation of microglial cell migration|positive regulation of I-kappaB phosphorylation|memory|positive regulation of NF-kappaB transcription factor activity|regulation of tumor necrosis factor biosynthetic process|positive regulation of angiogenesis|G protein-coupled receptor activity|multiple spine synapse organization, single dendrite|dendritic tree|regulation of synaptic plasticity|C-X3-C chemokine binding|C-X3-C chemokine receptor activity|G protein-coupled receptor signaling pathway|central nervous system maturation|synapse maturation|cell-cell signaling|positive regulation of neuroblast proliferation|plasma membrane|chemokine receptor activity|nucleus|cellular defense response|cellular response to transforming growth factor beta stimulus|protein binding|modulation of chemical synaptic transmission|positive regulation of neurogenesis|regulation of neurogenesis|negative regulation of cell migration|positive regulation of protein kinase B signaling|autocrine signaling|negative regulation of long-term synaptic potentiation|negative regulation of hippocampal neuron apoptotic process|response to wounding|cell adhesion|neuron projection|regulation of nitric oxide biosynthetic process|nucleoplasm|integral component of plasma membrane|chemotaxis|response to ischemia|viral process|social behavior|phospholipase C-activating G protein-coupled receptor signaling pathway|cell surface|synapse pruning|G protein-coupled peptide receptor activity|perinuclear region of cytoplasm|cellular response to lipopolysaccharide|innate immune response|chemokine-mediated signaling pathway|leukocyte tethering or rolling|negative regulation of apoptotic signaling pathway",GO:0016525|GO:0032691|GO:0032809|GO:1904139|GO:1903721|GO:0007613|GO:0051092|GO:0042534|GO:0045766|GO:0004930|GO:0150090|GO:0097447|GO:0048167|GO:0019960|GO:0016495|GO:0007186|GO:0021626|GO:0060074|GO:0007267|GO:0002052|GO:0005886|GO:0004950|GO:0005634|GO:0006968|GO:0071560|GO:0005515|GO:0050804|GO:0050769|GO:0050767|GO:0030336|GO:0051897|GO:0035425|GO:1900272|GO:0110091|GO:0009611|GO:0007155|GO:0043005|GO:0045428|GO:0005654|GO:0005887|GO:0006935|GO:0002931|GO:0016032|GO:0035176|GO:0007200|GO:0009986|GO:0098883|GO:0008528|GO:0048471|GO:0071222|GO:0045087|GO:0070098|GO:0050901|GO:2001234,,
UniProtKB:O43490,PROM1,Prominin-1,PROML1|MSTP061,Homo sapiens,protein,UniProtKB,prominin  prom  protein pthr22730,PANTHER:PTHR22730,actinin binding|retina morphogenesis in camera-type eye|endoplasmic reticulum|camera-type eye photoreceptor cell differentiation|endoplasmic reticulum-Golgi intermediate compartment|plasma membrane|photoreceptor outer segment membrane|photoreceptor outer segment|cell surface|microvillus membrane|extracellular space|protein binding|extracellular exosome|positive regulation of nephron tubule epithelial cell differentiation|cadherin binding|photoreceptor cell maintenance|glomerular visceral epithelial cell differentiation|retina layer formation|vesicle|glomerular parietal epithelial cell differentiation,GO:0042805|GO:0060042|GO:0005783|GO:0060219|GO:0005793|GO:0005886|GO:0042622|GO:0001750|GO:0009986|GO:0031528|GO:0005615|GO:0005515|GO:0070062|GO:2000768|GO:0045296|GO:0045494|GO:0072112|GO:0010842|GO:0031982|GO:0072139,,
UniProtKB:O75787,ATP6AP2,Renin receptor,ATP6IP2|CAPER|ELDF10|HT028|MSTP009|PSEC0072,Homo sapiens,protein,UniProtKB,renin receptor pthr13351,PANTHER:PTHR13351,regulation of MAPK cascade|rostrocaudal neural tube patterning|signaling receptor activity|external side of plasma membrane|neutrophil degranulation|head morphogenesis|neuron projection|plasma membrane|angiotensin maturation|positive regulation of transforming growth factor beta1 production|protein binding|extracellular exosome|eye pigmentation|cell body|integral component of membrane|positive regulation of Wnt signaling pathway|ficolin-1-rich granule membrane|apical plasma membrane|tertiary granule membrane,GO:0043408|GO:0021903|GO:0038023|GO:0009897|GO:0043312|GO:0060323|GO:0043005|GO:0005886|GO:0002003|GO:0032914|GO:0005515|GO:0070062|GO:0048069|GO:0044297|GO:0016021|GO:0030177|GO:0101003|GO:0016324|GO:0070821,,
UniProtKB:P17655,CAPN2,Calpain-2 catalytic subunit,CANPL2,Homo sapiens,protein,UniProtKB,calpain pthr10183,PANTHER:PTHR10183,external side of plasma membrane|positive regulation of myoblast fusion|Golgi apparatus|neuronal cell body|dendrite|cellular response to amino acid stimulus|response to hypoxia|extracellular exosome|focal adhesion|protein heterodimerization activity|calcium ion binding|blastocyst development|behavioral response to pain|positive regulation of phosphatidylcholine biosynthetic process|cytosol|proteolysis involved in cellular protein catabolic process|cortical actin cytoskeleton|cellular response to interferon-beta|extracellular matrix disassembly|myoblast fusion|female pregnancy|endoplasmic reticulum|cysteine-type peptidase activity|calcium-dependent cysteine-type endopeptidase activity|response to hydrogen peroxide|chromatin|positive regulation of neuron death|plasma membrane|lysosome|nucleus|mitochondrial intermembrane space|protein binding|cellular response to lipopolysaccharide|perinuclear endoplasmic reticulum|cytoplasm|regulation of cytoskeleton organization|proteolysis|membrane raft|positive regulation of cardiac muscle cell apoptotic process|regulation of interleukin-6 production|protein autoprocessing|pseudopodium|cytoskeletal protein binding|enzyme binding,GO:0009897|GO:1901741|GO:0005794|GO:0043025|GO:0030425|GO:0071230|GO:0001666|GO:0070062|GO:0005925|GO:0046982|GO:0005509|GO:0001824|GO:0048266|GO:2001247|GO:0005829|GO:0051603|GO:0030864|GO:0035458|GO:0022617|GO:0007520|GO:0007565|GO:0005783|GO:0008234|GO:0004198|GO:0042542|GO:0000785|GO:1901216|GO:0005886|GO:0005764|GO:0005634|GO:0005758|GO:0005515|GO:0071222|GO:0097038|GO:0005737|GO:0051493|GO:0006508|GO:0045121|GO:0010666|GO:0032675|GO:0016540|GO:0031143|GO:0008092|GO:0019899,,
UniProtKB:Q9UKF2,ADAM30,Disintegrin and metalloproteinase domain-containing protein 30,UNQ2509/PRO5997,Homo sapiens,protein,UniProtKB,adam  a disintegrin and metalloprotease domain pthr11905,PANTHER:PTHR11905,late endosome membrane|binding of sperm to zona pellucida|zinc ion binding|proteolysis|external side of plasma membrane|integral component of membrane|sperm head plasma membrane|metalloendopeptidase activity|plasma membrane|metallopeptidase activity,GO:0031902|GO:0007339|GO:0008270|GO:0006508|GO:0009897|GO:0016021|GO:1990913|GO:0004222|GO:0005886|GO:0008237,,
UniProtKB:P10909,CLU,Clusterin,APOJ|CLI|KUB1|AAG4,Homo sapiens,protein,UniProtKB,clusterin pthr10970,PANTHER:PTHR10970,"negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage|collagen-containing extracellular matrix|negative regulation of amyloid-beta formation|Golgi apparatus|synapse|positive regulation of NF-kappaB transcription factor activity|positive regulation of neurofibrillary tangle assembly|protein-containing complex binding|complement activation|positive regulation of tau-protein kinase activity|immune complex clearance|apical dendrite|low-density lipoprotein particle receptor binding|complement activation, classical pathway|intracellular membrane-bounded organelle|chaperone binding|cytosol|positive regulation of tumor necrosis factor production|central nervous system myelin maintenance|cell morphogenesis|regulation of amyloid-beta clearance|negative regulation of response to endoplasmic reticulum stress|chromaffin granule|positive regulation of amyloid-beta formation|regulation of neuronal signal transduction|nucleus|positive regulation of amyloid fibril formation|negative regulation of amyloid fibril formation|protein binding|ubiquitin protein ligase binding|positive regulation of gene expression|chaperone-mediated protein complex assembly|release of cytochrome c from mitochondria|protein-containing complex|neurofibrillary tangle|positive regulation of proteasomal ubiquitin-dependent protein catabolic process|positive regulation of ubiquitin-dependent protein catabolic process|positive regulation of nitric oxide biosynthetic process|chaperone-mediated protein folding|negative regulation of cell death|microglial cell proliferation|extracellular region|response to virus|platelet degranulation|regulation of complement activation|extracellular exosome|reverse cholesterol transport|blood microparticle|negative regulation of protein homooligomerization|positive regulation of protein homooligomerization|spherical high-density lipoprotein particle|positive regulation of receptor-mediated endocytosis|misfolded protein binding|response to misfolded protein|platelet alpha granule lumen|negative regulation of cellular response to thapsigargin|protein targeting to lysosome involved in chaperone-mediated autophagy|chaperone-mediated protein transport involved in chaperone-mediated autophagy|negative regulation of release of cytochrome c from mitochondria|negative regulation of cellular response to tunicamycin|regulation of neuron death|signaling receptor binding|positive regulation of neuron death|amyloid-beta binding|mitochondrial inner membrane|regulation of cell population proliferation|perinuclear endoplasmic reticulum lumen|cell surface|microglial cell activation|extracellular space|perinuclear region of cytoplasm|cytoskeleton|cytoplasm|innate immune response|mitochondrion|lipid metabolic process|positive regulation of apoptotic process|tau protein binding|membrane|antimicrobial humoral response|protein stabilization|protein import|cell periphery",GO:1902230|GO:0062023|GO:1902430|GO:0005794|GO:0045202|GO:0051092|GO:1902998|GO:0044877|GO:0006956|GO:1902949|GO:0002434|GO:0097440|GO:0050750|GO:0006958|GO:0043231|GO:0051087|GO:0005829|GO:0032760|GO:0032286|GO:0000902|GO:1900221|GO:1903573|GO:0042583|GO:1902004|GO:1902847|GO:0005634|GO:1905908|GO:1905907|GO:0005515|GO:0031625|GO:0010628|GO:0051131|GO:0001836|GO:0032991|GO:0097418|GO:0032436|GO:2000060|GO:0045429|GO:0061077|GO:0060548|GO:0061518|GO:0005576|GO:0009615|GO:0002576|GO:0030449|GO:0070062|GO:0043691|GO:0072562|GO:0032463|GO:0032464|GO:0034366|GO:0048260|GO:0051787|GO:0051788|GO:0031093|GO:1905892|GO:0061740|GO:0061741|GO:0090201|GO:1905895|GO:1901214|GO:0005102|GO:1901216|GO:0001540|GO:0005743|GO:0042127|GO:0099020|GO:0009986|GO:0001774|GO:0005615|GO:0048471|GO:0005856|GO:0005737|GO:0045087|GO:0005739|GO:0006629|GO:0043065|GO:0048156|GO:0016020|GO:0019730|GO:0050821|GO:0017038|GO:0071944,,
UniProtKB:P29016,CD1B,T-cell surface glycoprotein CD1b,,Homo sapiens,protein,UniProtKB,mhc class i-related pthr16675,PANTHER:PTHR16675,protein binding|integral component of membrane|adaptive immune response|endosome membrane|lysosomal membrane|plasma membrane|cell surface|regulation of immune response,GO:0005515|GO:0016021|GO:0002250|GO:0010008|GO:0005765|GO:0005886|GO:0009986|GO:0050776,,
