X.BioGRID.Interaction.ID,Entrez.Gene.Interactor.A,Entrez.Gene.Interactor.B,BioGRID.ID.Interactor.A,BioGRID.ID.Interactor.B,Systematic.Name.Interactor.A,Systematic.Name.Interactor.B,Official.Symbol.Interactor.A,Official.Symbol.Interactor.B,Synonyms.Interactor.A,Synonyms.Interactor.B,Experimental.System,Experimental.System.Type,Author,Pubmed.ID,Organism.Interactor.A,Organism.Interactor.B,Throughput,Score,Modification,Phenotypes,Qualifications,Tags,Source.Database,ENSEMBL_A,ENSEMBL_B
286825,958,931,107396,107369,-,-,CD40,MS4A1,Bp50|CDW40|TNFRSF5|p50,B1|Bp35|CD20|CVID5|LEU-16|MS4A2|S7,Affinity Capture-Western,physical,Leveille C (1999),9933087,9606,9606,Low Throughput,-,-,-,-,-,BIOGRID,ENSG00000101017,ENSG00000156738
286861,5329,3482,111345,109703,-,-,PLAUR,IGF2R,CD87|U-PAR|UPAR|URKR,CD222|CIMPR|M6P-R|MPR1|MPRI,Reconstituted Complex,physical,Nykjaer A (1998),9566979,9606,9606,Low Throughput,-,-,-,-,-,BIOGRID,ENSG00000011422,ENSG00000197081
286869,3383,3559,109610,109774,-,RP11-536K7.1,ICAM1,IL2RA,BB2|CD54|P3.58,CD25|IDDM10|IL2R|TCGFR|p55,Affinity Capture-Western,physical,Burton J (1990),1976256,9606,9606,Low Throughput,-,-,-,-,-,BIOGRID,ENSG00000090339,ENSG00000134460
286933,9378,22871,114779,116538,-,-,NRXN1,NLGN1,Hs.22998|PTHSL2|SCZD17,NL1,Reconstituted Complex,physical,Ichtchenko K (1996),8576240,9606,9606,Low Throughput,-,-,-,-,-,BIOGRID,ENSG00000179915,ENSG00000169760
286934,9378,57555,114779,121611,-,-,NRXN1,NLGN2,Hs.22998|PTHSL2|SCZD17,-,Reconstituted Complex,physical,Ichtchenko K (1996),8576240,9606,9606,Low Throughput,-,-,-,-,-,BIOGRID,ENSG00000179915,ENSG00000169992
286935,9378,54413,114779,119944,-,-,NRXN1,NLGN3,Hs.22998|PTHSL2|SCZD17,HNL3,Reconstituted Complex,physical,Ichtchenko K (1996),8576240,9606,9606,Low Throughput,-,-,-,-,-,BIOGRID,ENSG00000179915,ENSG00000196338
286973,3897,3678,110094,109884,-,-,L1CAM,ITGA5,CAML1|CD171|HSAS|HSAS1|MASA|MIC5|N-CAM-L1|N-CAML1|NCAM-L1|S10|SPG1,CD49e|FNRA|VLA5A,Reconstituted Complex,physical,Silletti S (2000),10871287,9606,9606,Low Throughput,-,-,-,-,-,BIOGRID,ENSG00000198910,ENSG00000161638
286974,3897,3685,110094,109891,-,-,L1CAM,ITGAV,CAML1|CD171|HSAS|HSAS1|MASA|MIC5|N-CAM-L1|N-CAML1|NCAM-L1|S10|SPG1,CD51|MSK8|VNRA|VTNR,Reconstituted Complex,physical,Silletti S (2000),10871287,9606,9606,Low Throughput,-,-,-,-,-,BIOGRID,ENSG00000198910,ENSG00000138448
287012,1604,1604,107974,107974,RP11-357P18.1,RP11-357P18.1,CD55,CD55,CR|CROM|DAF|TC,CR|CROM|DAF|TC,Co-crystal Structure,physical,Williams P (2003),12499389,9606,9606,Low Throughput,-,-,-,-,-,BIOGRID,ENSG00000196352,ENSG00000196352
287025,5340,7057,111356,112915,RP1-81D8.1,-,PLG,THBS1,-,THBS|THBS-1|TSP|TSP-1|TSP1,Reconstituted Complex,physical,DePoli P (1989),2522013,9606,9606,Low Throughput,-,-,-,-,-,BIOGRID,ENSG00000122194,ENSG00000137801
287069,4898,1839,110954,108172,RP4-657D16.2,-,NRD1,HBEGF,hNRD1|hNRD2,DTR|DTS|DTSF|HEGFL,Affinity Capture-Western,physical,Nishi E (2001),11432822,9606,9606,Low Throughput,-,-,-,-,-,BIOGRID,ENSG00000078618,ENSG00000113070
287070,4898,1839,110954,108172,RP4-657D16.2,-,NRD1,HBEGF,hNRD1|hNRD2,DTR|DTS|DTSF|HEGFL,Reconstituted Complex,physical,Nishi E (2001),11432822,9606,9606,Low Throughput,-,-,-,-,-,BIOGRID,ENSG00000078618,ENSG00000113070
287111,10148,9466,115450,114852,-,UNQ296/PRO336,EBI3,IL27RA,IL-27B|IL27B,CRL1|IL-27RA|IL27R|TCCR|WSX1|zcytor1,Affinity Capture-Western,physical,Pflanz S (2002),12121660,9606,9606,Low Throughput,-,-,-,-,-,BIOGRID,ENSG00000105246,ENSG00000104998
287184,350,4036,106847,110216,-,-,APOH,LRP2,B2G1|B2GP1|BG,DBS|GP330,Reconstituted Complex,physical,Moestrup SK (1998),9727058,9606,9606,Low Throughput,-,-,-,-,-,BIOGRID,ENSG00000091583,ENSG00000081479
287228,7422,2817,113265,109079,RP1-261G23.1,-,VEGFA,GPC1,MVCD1|VEGF|VPF,glypican,Reconstituted Complex,physical,Gengrinovitch S (1999),10196157,9606,9606,Low Throughput,-,-,-,-,-,BIOGRID,ENSG00000112715,ENSG00000063660
287274,650,657,107118,107125,-,-,BMP2,BMPR1A,BDA2|BMP2A,10q23del|ACVRLK3|ALK3|CD292|SKR5,Reconstituted Complex,physical,Kirsch T (2000),10692589,9606,9606,Low Throughput,-,-,-,-,-,BIOGRID,ENSG00000125845,ENSG00000107779
287490,846,846,107296,107296,-,-,CASR,CASR,CAR|EIG8|FHH|FIH|GPRC2A|HHC|HHC1|HYPOC1|NSHPT|PCAR1,CAR|EIG8|FHH|FIH|GPRC2A|HHC|HHC1|HYPOC1|NSHPT|PCAR1,Reconstituted Complex,physical,Bai M (1998),9722601,9606,9606,Low Throughput,-,-,-,-,-,BIOGRID,ENSG00000036828,ENSG00000036828
287526,7040,2219,112898,108513,-,RP11-447M12.1,TGFB1,FCN1,CED|DPD1|LAP|TGFB|TGFbeta,FCNM,Co-purification,physical,Ichijo H (1993),7686157,9606,9606,Low Throughput,-,-,-,-,-,BIOGRID,ENSG00000105329,ENSG00000085265
287630,351,633,106848,107102,-,-,APP,BGN,AAA|ABETA|ABPP|AD1|APPI|CTFgamma|CVAP|PN-II|PN2,DSPG1|PG-S1|PGI|SLRR1A,Reconstituted Complex,physical,Snow AD (1995),7793988,9606,9606,Low Throughput,-,-,-,-,-,BIOGRID,ENSG00000142192,ENSG00000182492
287652,967,3122,107405,109367,-,DASS-397D15.1,CD63,HLA-DRA,LAMP-3|ME491|MLA1|OMA81H|TSPAN30,HLA-DRA1|MLRW,Affinity Capture-Western,physical,Hammond C (1998),9759843,9606,9606,Low Throughput,-,-,-,-,-,BIOGRID,ENSG00000135404,ENSG00000204287
287774,914,965,107352,107403,RP4-655N15.2,RP5-1086K13.2,CD2,CD58,LFA-2|SRBC|T11,LFA-3|LFA3|ag3,Co-crystal Structure,physical,Kim M (2001),11575926,9606,9606,Low Throughput,-,-,-,-,-,BIOGRID,ENSG00000116824,ENSG00000116815
287868,650,657,107118,107125,-,-,BMP2,BMPR1A,BDA2|BMP2A,10q23del|ACVRLK3|ALK3|CD292|SKR5,Reconstituted Complex,physical,Kirsch T (2000),10880444,9606,9606,Low Throughput,-,-,-,-,-,BIOGRID,ENSG00000125845,ENSG00000107779
287869,650,659,107118,107127,-,-,BMP2,BMPR2,BDA2|BMP2A,BMPR-II|BMPR3|BMR2|BRK-3|POVD1|PPH1|T-ALK,Reconstituted Complex,physical,Kirsch T (2000),10880444,9606,9606,Low Throughput,-,-,-,-,-,BIOGRID,ENSG00000125845,ENSG00000204217
287966,2902,2903,109159,109160,RP11-350O14.1,RP11-297M9.2,GRIN1,GRIN2A,GluN1|MRD8|NMD-R1|NMDA1|NMDAR1|NR1,EPND|FESD|GluN2A|LKS|NMDAR2A|NR2A,Affinity Capture-Western,physical,Al-Hallaq RA (2002),12391275,9606,9606,Low Throughput,-,-,-,-,-,BIOGRID,ENSG00000176884,ENSG00000183454
287967,2902,2904,109159,109161,RP11-350O14.1,-,GRIN1,GRIN2B,GluN1|MRD8|NMD-R1|NMDA1|NMDAR1|NR1,GluN2B|MRD6|NMDAR2B|NR2B|hNR3,Affinity Capture-Western,physical,Al-Hallaq RA (2002),12391275,9606,9606,Low Throughput,-,-,-,-,-,BIOGRID,ENSG00000176884,ENSG00000273079
287973,933,5788,107371,111752,-,RP11-553K8.4,CD22,PTPRC,SIGLEC-2|SIGLEC2,B220|CD45|CD45R|GP180|L-CA|LCA|LY5|T200,Affinity Capture-Western,physical,Greer SF (1999),10228003,9606,9606,Low Throughput,-,-,-,crosslinking experiment,-,BIOGRID,ENSG00000012124,ENSG00000081237
288018,920,1234,107358,107639,-,-,CD4,CCR5,CD4mut,CC-CKR-5|CCCKR5|CCR-5|CD195|CKR-5|CKR5|CMKBR5|IDDM22,Affinity Capture-Western,physical,Xiao X (2000),10816381,9606,9606,Low Throughput,-,-,-,-,-,BIOGRID,ENSG00000010610,ENSG00000160791
288019,920,7852,107358,113607,-,-,CD4,CXCR4,CD4mut,CD184|D2S201E|FB22|HM89|HSY3RR|LAP-3|LAP3|LCR1|LESTR|NPY3R|NPYR|NPYRL|NPYY3R|WHIM,Affinity Capture-Western,physical,Xiao X (2000),10816381,9606,9606,Low Throughput,-,-,-,-,-,BIOGRID,ENSG00000010610,ENSG00000121966
288192,3672,7094,109879,112949,-,RP11-112J3.1,ITGA1,TLN1,CD49a|VLA1,ILWEQ|TLN,Reconstituted Complex,physical,Loester K (2001),11336656,9606,9606,Low Throughput,-,-,-,-,-,BIOGRID,ENSG00000213949,ENSG00000137076
288199,3679,1134,109885,107556,UNQ406/PRO768,-,ITGA7,CHRNA1,-,ACHRA|ACHRD|CHRNA|CMS2A|FCCMS|SCCMS,Affinity Capture-Western,physical,Burkin DJ (2000),10910772,9606,9606,Low Throughput,-,-,-,-,-,BIOGRID,ENSG00000135424,ENSG00000138435
288211,4036,4023,110216,110205,-,-,LRP2,LPL,DBS|GP330,HDLCQ11|LIPD,Reconstituted Complex,physical,Kounnas MZ (1993),7686151,9606,9606,Low Throughput,-,-,-,-,-,BIOGRID,ENSG00000081479,ENSG00000175445
288217,928,963,107366,107401,GIG2,-,CD9,CD53,BTCC-1|DRAP-27|MIC3|MRP-1|TSPAN-29|TSPAN29,MOX44|TSPAN25,Affinity Capture-Western,physical,Charrin S (2002),11959120,9606,9606,Low Throughput,-,-,-,-,-,BIOGRID,ENSG00000010278,ENSG00000143119
288225,1004,1004,107439,107439,-,-,CDH6,CDH6,CAD6|KCAD,CAD6|KCAD,Co-localization,physical,Shimoyama Y (1999),10207020,9606,9606,Low Throughput,-,-,-,mixed cell aggregation experiments,-,BIOGRID,ENSG00000113361,ENSG00000113361
288226,1004,1016,107439,107451,-,-,CDH6,CDH18,CAD6|KCAD,CDH14|CDH14L|CDH24,Co-localization,physical,Shimoyama Y (1999),10207020,9606,9606,Low Throughput,-,-,-,mixed cell aggregation experiments,-,BIOGRID,ENSG00000113361,ENSG00000145526
288227,1016,1016,107451,107451,-,-,CDH18,CDH18,CDH14|CDH14L|CDH24,CDH14|CDH14L|CDH24,Co-localization,physical,Shimoyama Y (1999),10207020,9606,9606,Low Throughput,-,-,-,mixed cell aggregation experiments,-,BIOGRID,ENSG00000145526,ENSG00000145526
288279,961,3688,107399,109894,-,RP11-479G22.2,CD47,ITGB1,IAP|MER6|OA3,CD29|FNRB|GPIIA|MDF2|MSK12|VLA-BETA|VLAB,Affinity Capture-Western,physical,Chung J (1999),10397731,9606,9606,Low Throughput,-,-,-,-,-,BIOGRID,ENSG00000196776,ENSG00000150093
288290,3559,3559,109774,109774,RP11-536K7.1,RP11-536K7.1,IL2RA,IL2RA,CD25|IDDM10|IL2R|TCGFR|p55,CD25|IDDM10|IL2R|TCGFR|p55,FRET,physical,Eicher DM (2002),11886175,9606,9606,Low Throughput,-,-,-,-,-,BIOGRID,ENSG00000134460,ENSG00000134460
288356,4036,5328,110216,111344,-,RP11-417O11.1,LRP2,PLAU,DBS|GP330,ATF|BDPLT5|QPD|UPA|URK|u-PA,Reconstituted Complex,physical,Moestrup SK (1993),8344937,9606,9606,Low Throughput,-,-,-,-,-,BIOGRID,ENSG00000081479,ENSG00000122861
288358,7412,3681,113255,109887,-,-,VCAM1,ITGAD,CD106|INCAM-100,ADB2|CD11D,Reconstituted Complex,physical,Van der Vieren M (1999),10438935,9606,9606,Low Throughput,-,-,-,-,-,BIOGRID,ENSG00000162692,ENSG00000156886
288359,259,259,106757,106757,-,-,AMBP,AMBP,A1M|EDC1|HCP|HI30|IATIL|ITI|ITIL|ITILC|UTI,A1M|EDC1|HCP|HI30|IATIL|ITI|ITIL|ITILC|UTI,Affinity Capture-Western,physical,Berggard T (1997),9183005,9606,9606,Low Throughput,-,-,-,-,-,BIOGRID,ENSG00000106927,ENSG00000106927
288361,259,973,106757,107411,-,-,AMBP,CD79A,A1M|EDC1|HCP|HI30|IATIL|ITI|ITIL|ITILC|UTI,IGA|MB-1,Affinity Capture-Western,physical,Berggard T (1997),9183005,9606,9606,Low Throughput,-,-,-,-,-,BIOGRID,ENSG00000106927,ENSG00000105369
288428,3690,5175,109896,111201,-,-,ITGB3,PECAM1,BDPLT16|BDPLT2|CD61|GP3A|GPIIIa|GT,CD31|CD31/EndoCAM|GPIIA|PECA1|PECAM-1|endoCAM,Co-localization,physical,Wong CW (2000),10982404,9606,9606,Low Throughput,-,-,-,-,-,BIOGRID,ENSG00000259207,ENSG00000261371
288455,5156,5156,111182,111182,-,-,PDGFRA,PDGFRA,CD140A|PDGFR-2|PDGFR2|RHEPDGFRA,CD140A|PDGFR-2|PDGFR2|RHEPDGFRA,Biochemical Activity,physical,Eriksson A (1995),7535778,9606,9606,Low Throughput,-,Phosphorylation,-,-,-,BIOGRID,ENSG00000134853,ENSG00000134853
288942,718,3687,107179,109893,-,-,C3,ITGAX,AHUS5|ARMD9|ASP|C3a|C3b|CPAMD1|HEL-S-62p,CD11C|SLEB6,Reconstituted Complex,physical,Micklem KJ (1985),4062888,9606,9606,Low Throughput,-,-,-,-,-,BIOGRID,ENSG00000125730,ENSG00000140678
288968,2243,5327,108534,111343,-,-,FGA,PLAT,Fib2,T-PA|TPA,Reconstituted Complex,physical,Tsurupa G (2001),11170397,9606,9606,Low Throughput,-,-,-,-,-,BIOGRID,ENSG00000171560,ENSG00000104368
288997,335,335,106832,106832,-,-,APOA1,APOA1,-,-,Co-crystal Structure,physical,Borhani DW (1997),9356442,9606,9606,Low Throughput,-,-,-,-,-,BIOGRID,ENSG00000118137,ENSG00000118137
289131,7132,7132,112986,112986,-,-,TNFRSF1A,TNFRSF1A,CD120a|FPF|MS5|TBP1|TNF-R|TNF-R-I|TNF-R55|TNFAR|TNFR1|TNFR1-d2|TNFR55|TNFR60|p55|p55-R|p60,CD120a|FPF|MS5|TBP1|TNF-R|TNF-R-I|TNF-R55|TNFAR|TNFR1|TNFR1-d2|TNFR55|TNFR60|p55|p55-R|p60,Two-hybrid,physical,Song HY (1994),8077196,9606,9606,Low Throughput,-,-,-,-,-,BIOGRID,ENSG00000067182,ENSG00000067182
289251,6955,3105,112815,109350,-,DAQB-90C11.16-002,TRA,HLA-A,IMD7|TCRA|TCRD|TRA@|TRAC,HLAA,Co-crystal Structure,physical,Ding YH (1998),9586631,9606,9606,Low Throughput,-,-,-,-,-,BIOGRID,NA,ENSG00000206503
289253,6957,3105,112817,109350,-,DAQB-90C11.16-002,TRB,HLA-A,TCRB|TRB@,HLAA,Co-crystal Structure,physical,Ding YH (1998),9586631,9606,9606,Low Throughput,-,-,-,-,-,BIOGRID,NA,ENSG00000206503
297151,351,43,106848,106561,-,-,APP,ACHE,AAA|ABETA|ABPP|AD1|APPI|CTFgamma|CVAP|PN-II|PN2,ACEE|ARACHE|N-ACHE|YT,Reconstituted Complex,physical,Cottingham MG (2002),12427014,9606,9606,Low Throughput,-,-,-,-,-,BIOGRID,ENSG00000142192,ENSG00000087085
297265,1002,1000,107437,107435,-,-,CDH4,CDH2,CAD4|R-CAD|RCAD,CD325|CDHN|CDw325|NCAD,Affinity Capture-Western,physical,Shan WS (2000),10662782,9606,9606,Low Throughput,-,-,-,-,-,BIOGRID,ENSG00000179242,ENSG00000170558
297632,7046,7040,112904,112898,RP11-96L7.1,-,TGFBR1,TGFB1,AAT5|ACVRLK4|ALK-5|ALK5|ESS1|LDS1|LDS1A|LDS2A|MSSE|SKR4|TGFR-1|tbetaR-I,CED|DPD1|LAP|TGFB|TGFbeta,Affinity Capture-Western,physical,Oh SP (2000),10716993,9606,9606,Low Throughput,-,-,-,-,-,BIOGRID,ENSG00000106799,ENSG00000105329
297633,94,7040,106609,112898,-,-,ACVRL1,TGFB1,ACVRLK1|ALK-1|ALK1|HHT|HHT2|ORW2|SKR3|TSR-I,CED|DPD1|LAP|TGFB|TGFbeta,Affinity Capture-Western,physical,Oh SP (2000),10716993,9606,9606,Low Throughput,-,-,-,-,-,BIOGRID,ENSG00000139567,ENSG00000105329
297935,4851,4851,110913,110913,-,-,NOTCH1,NOTCH1,AOS5|AOVD1|TAN1|hN1,AOS5|AOVD1|TAN1|hN1,Affinity Capture-Western,physical,Rand MD (2000),10669757,9606,9606,Low Throughput,-,-,-,-,-,BIOGRID,ENSG00000148400,ENSG00000148400
298080,1191,4036,107603,110216,AAG4,-,CLU,LRP2,APO-J|APOJ|CLI|CLU1|CLU2|KUB1|NA1/NA2|SGP-2|SGP2|SP-40|TRPM-2|TRPM2,DBS|GP330,Reconstituted Complex,physical,Kounnas MZ (1995),7768901,9606,9606,Low Throughput,-,-,-,-,-,BIOGRID,ENSG00000120885,ENSG00000081479
298154,7037,7037,112895,112895,-,-,TFRC,TFRC,CD71|T9|TFR|TFR1|TR|TRFR|p90,CD71|T9|TFR|TFR1|TR|TRFR|p90,Co-crystal Structure,physical,Lawrence CM (1999),10531064,9606,9606,Low Throughput,-,-,-,-,-,BIOGRID,ENSG00000072274,ENSG00000072274
300867,929,3929,107367,110121,-,-,CD14,LBP,-,BPIFD2,Reconstituted Complex,physical,Thomas CJ (2002),12417309,9606,9606,Low Throughput,-,-,-,-,-,BIOGRID,ENSG00000170458,ENSG00000129988
300868,929,3929,107367,110121,-,-,CD14,LBP,-,BPIFD2,Co-purification,physical,Yu B (1995),7583357,9606,9606,Low Throughput,-,-,-,-,-,BIOGRID,ENSG00000170458,ENSG00000129988
300870,929,7097,107367,112952,-,-,CD14,TLR2,-,CD282|TIL4,Affinity Capture-Western,physical,Yang RB (1999),10395652,9606,9606,Low Throughput,-,-,-,-,-,BIOGRID,ENSG00000170458,ENSG00000137462
300871,7097,7097,112952,112952,-,-,TLR2,TLR2,CD282|TIL4,CD282|TIL4,Affinity Capture-Western,physical,Yang RB (1999),10395652,9606,9606,Low Throughput,-,-,-,-,-,BIOGRID,ENSG00000137462,ENSG00000137462
300951,100506742,100506742,125680,125680,UNQ9415,UNQ9415,CASP12,CASP12,CASP-12|CASP12P1,CASP-12|CASP12P1,Affinity Capture-Western,physical,Yoneda T (2001),11278723,9606,9606,Low Throughput,-,-,-,-,-,BIOGRID,NA,NA
301028,3592,3593,109806,109807,-,-,IL12A,IL12B,CLMF|IL-12A|NFSK|NKSF1|P35,CLMF|CLMF2|IL-12B|IMD28|IMD29|NKSF|NKSF2,Co-crystal Structure,physical,Yoon C (2000),10899108,9606,9606,Low Throughput,-,-,-,-,-,BIOGRID,ENSG00000168811,ENSG00000113302
301237,960,1956,107398,108276,AL133330.1,-,CD44,EGFR,CDW44|CSPG8|ECMR-III|HCELL|HUTCH-I|IN|LHR|MC56|MDU2|MDU3|MIC4|Pgp1,ERBB|ERBB1|HER1|NISBD2|PIG61|mENA,Affinity Capture-Western,physical,Tsatas D (2002),12093135,9606,9606,Low Throughput,-,-,-,-,-,BIOGRID,ENSG00000026508,ENSG00000146648
301310,3146,5327,109389,111343,RP11-550P23.1,-,HMGB1,PLAT,HMG1|HMG3|SBP-1,T-PA|TPA,Co-purification,physical,Parkkinen J (1993),8366113,9606,9606,Low Throughput,-,-,-,-,-,BIOGRID,ENSG00000189403,ENSG00000104368
301488,6376,6376,112278,112278,A-152E5.2,A-152E5.2,CX3CL1,CX3CL1,ABCD-3|C3Xkine|CXC3|CXC3C|NTN|NTT|SCYD1|fractalkine|neurotactin,ABCD-3|C3Xkine|CXC3|CXC3C|NTN|NTT|SCYD1|fractalkine|neurotactin,Co-crystal Structure,physical,Hoover DM (2000),10770945,9606,9606,Low Throughput,-,-,-,-,-,BIOGRID,ENSG00000006210,ENSG00000006210
301578,7035,7057,112893,112915,-,-,TFPI,THBS1,EPI|LACI|TFI|TFPI1,THBS|THBS-1|TSP|TSP-1|TSP1,Reconstituted Complex,physical,Mast AE (2000),10922378,9606,9606,Low Throughput,-,-,-,-,-,BIOGRID,ENSG00000003436,ENSG00000137801
301707,4057,929,110235,107367,-,-,LTF,CD14,GIG12|HEL110|HLF2|LF,-,Reconstituted Complex,physical,Baveye S (2000),11083760,9606,9606,Low Throughput,-,-,-,-,-,BIOGRID,ENSG00000012223,ENSG00000170458
301946,6504,5788,112395,111752,RP11-528G1.4,RP11-553K8.4,SLAMF1,PTPRC,CD150|CDw150|SLAM,B220|CD45|CD45R|GP180|L-CA|LCA|LY5|T200,Affinity Capture-Western,physical,Mikhalap SV (1999),10229804,9606,9606,Low Throughput,-,-,-,-,-,BIOGRID,ENSG00000117090,ENSG00000081237
302003,6422,54361,112320,119939,-,RP1-224A6.7,SFRP1,WNT4,FRP|FRP-1|FRP1|FrzA|SARP2,SERKAL|WNT-4,Reconstituted Complex,physical,Yoshino K (2001),11287180,9606,9606,Low Throughput,-,-,-,-,-,BIOGRID,ENSG00000104332,ENSG00000162552
302078,3572,3977,109786,110165,-,-,IL6ST,LIFR,CD130|CDW130|GP130|IL-6RB,CD118|LIF-R|SJS2|STWS|SWS,Affinity Capture-Western,physical,Mosley B (1996),8999038,9606,9606,Low Throughput,-,-,-,-,-,BIOGRID,ENSG00000134352,ENSG00000113594
302079,3572,9180,109786,114617,-,-,IL6ST,OSMR,CD130|CDW130|GP130|IL-6RB,OSMRB|PLCA1,Affinity Capture-Western,physical,Mosley B (1996),8999038,9606,9606,Low Throughput,-,-,-,-,-,BIOGRID,ENSG00000134352,ENSG00000145623
302276,1182,1182,107596,107596,-,-,CLCN3,CLCN3,CLC3|ClC-3,CLC3|ClC-3,Affinity Capture-Western,physical,Gentzsch M (2003),12471024,9606,9606,Low Throughput,-,-,-,-,-,BIOGRID,ENSG00000109572,ENSG00000109572
302286,1080,1182,107506,107596,tcag7.78,-,CFTR,CLCN3,ABC35|ABCC7|CF|CFTR/MRP|MRP7|TNR-CFTR|dJ760C5.1,CLC3|ClC-3,Reconstituted Complex,physical,Gentzsch M (2003),12471024,9606,9606,Low Throughput,-,-,-,-,-,BIOGRID,ENSG00000001626,ENSG00000109572
302304,3688,7094,109894,112949,RP11-479G22.2,RP11-112J3.1,ITGB1,TLN1,CD29|FNRB|GPIIA|MDF2|MSK12|VLA-BETA|VLAB,ILWEQ|TLN,Protein-peptide,physical,Martel V (2001),11279249,9606,9606,Low Throughput,-,-,-,-,-,BIOGRID,ENSG00000150093,ENSG00000137076
302314,4914,4914,110969,110969,-,-,NTRK1,NTRK1,MTC|TRK|TRK1|TRKA|Trk-A|p140-TrkA,MTC|TRK|TRK1|TRKA|Trk-A|p140-TrkA,Co-crystal Structure,physical,Ultsch MH (1999),10388563,9606,9606,Low Throughput,-,-,-,-,-,BIOGRID,ENSG00000198400,ENSG00000198400
302409,3803,3107,110004,109352,CU464060.2,XXbac-BCX101P6.2,KIR2DL2,HLA-C,CD158B1|CD158b|NKAT-6|NKAT6|p58.2,D6S204|HLA-JY3|HLC-C|PSORS1,Co-crystal Structure,physical,Boyington JC (2000),10850706,9606,9606,Low Throughput,-,-,-,-,-,BIOGRID,NA,ENSG00000204525
302412,5663,4851,111642,110913,-,-,PSEN1,NOTCH1,AD3|FAD|PS-1|PS1|S182,AOS5|AOVD1|TAN1|hN1,Affinity Capture-Western,physical,Ray WJ (1999),10077672,9606,9606,Low Throughput,-,-,-,-,-,BIOGRID,ENSG00000080815,ENSG00000148400
302514,2159,5327,108457,111343,RP11-98F14.9,-,F10,PLAT,FX|FXA,T-PA|TPA,Reconstituted Complex,physical,Grundy JE (2001),11371191,9606,9606,Low Throughput,-,-,-,-,-,BIOGRID,ENSG00000126218,ENSG00000104368
302515,2159,5340,108457,111356,RP11-98F14.9,RP1-81D8.1,F10,PLG,FX|FXA,-,Reconstituted Complex,physical,Grundy JE (2001),11371191,9606,9606,Low Throughput,-,-,-,-,-,BIOGRID,ENSG00000126218,ENSG00000122194
302518,5340,5345,111356,111360,RP1-81D8.1,-,PLG,SERPINF2,-,A2AP|AAP|ALPHA-2-PI|API|PLI,Reconstituted Complex,physical,Wiman B (1979),158022,9606,9606,Low Throughput,-,-,-,-,-,BIOGRID,ENSG00000122194,ENSG00000167711
302519,5340,6678,111356,112560,RP1-81D8.1,-,PLG,SPARC,-,ON,Reconstituted Complex,physical,Kelm RJ (1994),7982919,9606,9606,Low Throughput,-,-,-,-,-,BIOGRID,ENSG00000122194,ENSG00000113140
302541,10326,7305,115609,113155,RP4-576H24.1,-,SIRPB1,TYROBP,CD172b|SIRP-BETA-1,DAP12|KARAP|PLOSL,Affinity Capture-Western,physical,Dietrich J (2000),10604985,9606,9606,Low Throughput,-,-,-,-,-,BIOGRID,ENSG00000101307,ENSG00000011600
302542,7305,10326,113155,115609,-,RP4-576H24.1,TYROBP,SIRPB1,DAP12|KARAP|PLOSL,CD172b|SIRP-BETA-1,Affinity Capture-Western,physical,Tomasello E (2000),10940905,9606,9606,Low Throughput,-,-,-,-,-,BIOGRID,ENSG00000011600,ENSG00000101307
302545,10326,7305,115609,113155,RP4-576H24.1,-,SIRPB1,TYROBP,CD172b|SIRP-BETA-1,DAP12|KARAP|PLOSL,Affinity Capture-Western,physical,Tomasello E (2000),10940905,9606,9606,Low Throughput,-,-,-,-,-,BIOGRID,ENSG00000101307,ENSG00000011600
302811,5156,5156,111182,111182,-,-,PDGFRA,PDGFRA,CD140A|PDGFR-2|PDGFR2|RHEPDGFRA,CD140A|PDGFR-2|PDGFR2|RHEPDGFRA,Far Western,physical,Maudsley S (2000),11046132,9606,9606,Low Throughput,-,-,-,-,-,BIOGRID,ENSG00000134853,ENSG00000134853
302812,5159,5159,111185,111185,-,-,PDGFRB,PDGFRB,CD140B|IBGC4|IMF1|JTK12|PDGFR|PDGFR-1|PDGFR1,CD140B|IBGC4|IMF1|JTK12|PDGFR|PDGFR-1|PDGFR1,Far Western,physical,Maudsley S (2000),11046132,9606,9606,Low Throughput,-,-,-,-,-,BIOGRID,ENSG00000113721,ENSG00000113721
302822,3690,5159,109896,111185,-,-,ITGB3,PDGFRB,BDPLT16|BDPLT2|CD61|GP3A|GPIIIa|GT,CD140B|IBGC4|IMF1|JTK12|PDGFR|PDGFR-1|PDGFR1,Affinity Capture-Western,physical,Borges E (2000),10964931,9606,9606,Low Throughput,-,-,-,-,-,BIOGRID,ENSG00000259207,ENSG00000113721
302835,1901,5159,108225,111185,-,-,S1PR1,PDGFRB,CD363|CHEDG1|D1S3362|ECGF1|EDG-1|EDG1|S1P1,CD140B|IBGC4|IMF1|JTK12|PDGFR|PDGFR-1|PDGFR1,Affinity Capture-Western,physical,Waters C (2003),12480944,9606,9606,Low Throughput,-,-,-,-,-,BIOGRID,ENSG00000170989,ENSG00000113721
302840,6678,5155,112560,111181,-,LL22NC03-10C3.2,SPARC,PDGFB,ON,IBGC5|PDGF-2|PDGF2|SIS|SSV|c-sis,Reconstituted Complex,physical,Raines EW (1992),1311092,9606,9606,Low Throughput,-,-,-,-,-,BIOGRID,ENSG00000113140,ENSG00000100311
